Codi,Barris,Any,Preu_m2
28,Vallcarca i els Penitents  ,2024,17.76
28,Vallcarca i els Penitents  ,2025,17.39
29,el Coll  ,2014,9.52
29,el Coll  ,2015,9.90
29,el Coll  ,2016,11.23
29,el Coll  ,2017,12.45
29,el Coll  ,2018,12.17
29,el Coll  ,2019,12.72
29,el Coll  ,2020,12.23
29,el Coll  ,2021,12.71
29,el Coll  ,2022,12.95
29,el Coll  ,2023,14.42
29,el Coll  ,2024,14.66
29,el Coll  ,2025,15.24
30,la Salut  ,2014,9.97
30,la Salut  ,2015,11.28
30,la Salut  ,2016,12.11
30,la Salut  ,2017,12.34
30,la Salut  ,2018,12.84
30,la Salut  ,2019,13.15
30,la Salut  ,2020,13.64
30,la Salut  ,2021,12.58
30,la Salut  ,2022,13.51
30,la Salut  ,2023,15.34
30,la Salut  ,2024,16.42
30,la Salut  ,2025,16.48
31,la Vila de Gràcia  ,2014,11.25
31,la Vila de Gràcia  ,2015,12.30
31,la Vila de Gràcia  ,2016,13.50
31,la Vila de Gràcia  ,2017,15.01
31,la Vila de Gràcia  ,2018,14.60
31,la Vila de Gràcia  ,2019,15.10
31,la Vila de Gràcia  ,2020,14.91
31,la Vila de Gràcia  ,2021,14.13
31,la Vila de Gràcia  ,2022,15.96
31,la Vila de Gràcia  ,2023,17.48
31,la Vila de Gràcia  ,2024,17.89
31,la Vila de Gràcia  ,2025,18.50
32,el Camp d'en Grassot i Gràcia Nova  ,2014,10.36
32,el Camp d'en Grassot i Gràcia Nova  ,2015,11.33
32,el Camp d'en Grassot i Gràcia Nova  ,2016,12.48
32,el Camp d'en Grassot i Gràcia Nova  ,2017,13.57
32,el Camp d'en Grassot i Gràcia Nova  ,2018,13.82
32,el Camp d'en Grassot i Gràcia Nova  ,2019,14.73
32,el Camp d'en Grassot i Gràcia Nova  ,2020,14.08
32,el Camp d'en Grassot i Gràcia Nova  ,2021,13.73
32,el Camp d'en Grassot i Gràcia Nova  ,2022,15.14
32,el Camp d'en Grassot i Gràcia Nova  ,2023,16.69
32,el Camp d'en Grassot i Gràcia Nova  ,2024,17.48
32,el Camp d'en Grassot i Gràcia Nova  ,2025,17.13
33,el Baix Guinardó  ,2014,9.56
33,el Baix Guinardó  ,2015,10.57
33,el Baix Guinardó  ,2016,11.43
33,el Baix Guinardó  ,2017,12.59
33,el Baix Guinardó  ,2018,12.66
33,el Baix Guinardó  ,2019,13.50
33,el Baix Guinardó  ,2020,13.76
33,el Baix Guinardó  ,2021,12.64
33,el Baix Guinardó  ,2022,14.04
33,el Baix Guinardó  ,2023,15.48
33,el Baix Guinardó  ,2024,15.72
33,el Baix Guinardó  ,2025,15.93
34,Can Baró  ,2014,9.42
34,Can Baró  ,2015,10.09
34,Can Baró  ,2016,11.50
34,Can Baró  ,2017,12.42
34,Can Baró  ,2018,12.15
34,Can Baró  ,2019,13.40
34,Can Baró  ,2020,12.95
34,Can Baró  ,2021,12.53
34,Can Baró  ,2022,13.68
34,Can Baró  ,2023,14.97
34,Can Baró  ,2024,15.72
34,Can Baró  ,2025,16.03
35,el Guinardó  ,2014,9.18
35,el Guinardó  ,2015,10.36
35,el Guinardó  ,2016,11.14
35,el Guinardó  ,2017,12.28
35,el Guinardó  ,2018,12.07
35,el Guinardó  ,2019,12.92
35,el Guinardó  ,2020,13.20
35,el Guinardó  ,2021,12.60
35,el Guinardó  ,2022,13.44
35,el Guinardó  ,2023,14.95
35,el Guinardó  ,2024,14.99
35,el Guinardó  ,2025,15.44
36,la Font d'en Fargues  ,2014,9.26
36,la Font d'en Fargues  ,2015,11.37
36,la Font d'en Fargues  ,2016,11.89
36,la Font d'en Fargues  ,2017,13.11
36,la Font d'en Fargues  ,2018,12.10
36,la Font d'en Fargues  ,2019,12.85
36,la Font d'en Fargues  ,2020,12.90
36,la Font d'en Fargues  ,2021,12.14
36,la Font d'en Fargues  ,2022,13.51
36,la Font d'en Fargues  ,2023,15.50
36,la Font d'en Fargues  ,2024,15.60
36,la Font d'en Fargues  ,2025,14.60
37,el Carmel  ,2014,8.63
37,el Carmel  ,2015,9.11
37,el Carmel  ,2016,9.82
37,el Carmel  ,2017,11.01
37,el Carmel  ,2018,11.33
37,el Carmel  ,2019,12.09
37,el Carmel  ,2020,11.98
37,el Carmel  ,2021,11.77
37,el Carmel  ,2022,12.68
37,el Carmel  ,2023,13.50
37,el Carmel  ,2024,13.56
37,el Carmel  ,2025,13.97
38,la Teixonera  ,2014,8.35
38,la Teixonera  ,2015,9.51
38,la Teixonera  ,2016,10.18
38,la Teixonera  ,2017,11.18
38,la Teixonera  ,2018,12.12
38,la Teixonera  ,2019,12.60
38,la Teixonera  ,2020,12.10
38,la Teixonera  ,2021,12.15
38,la Teixonera  ,2022,13.19
38,la Teixonera  ,2023,14.62
38,la Teixonera  ,2024,14.57
